Model,Variable,Coefficient,Std_Error,T_Statistic,P_Value,CI_Lower,CI_Upper
Model 1: Distal Only,const,37.579190581744754,21.69195138082786,1.732402489845087,0.08507054995587428,-5.250388030176573,80.40876919366607
Model 1: Distal Only,gni_per_capita,8.575630674668231e-06,9.52007180534331e-06,0.9007947471420337,0.3690103654170238,-1.022123349950022e-05,2.737249484883668e-05
Model 1: Distal Only,poverty_headcount,-0.07737562651206717,0.060127795304614824,-1.2868528792727674,0.1999480114246437,-0.196094689197991,0.04134343617385666
Model 1: Distal Only,gini_index,-0.16223220614302375,0.17617429895749478,-0.9208619367468871,0.35846691904884465,-0.510078780853177,0.1856143685671296
Model 1: Distal Only,health_expenditure_pc,-5.2699969958294135e-06,0.00029313205498778113,-0.01797823508605733,0.9856779375824347,-0.0005840433020046882,0.0005735033080130293
Model 1: Distal Only,female_literacy,0.7794258829385542,0.3193553649233638,2.4406224806199646,0.01571947599308152,0.14887607822098403,1.4099756876561242
Model 1: Distal Only,adult_literacy,-1.0098324430646817,0.3848705225095776,-2.623823816071941,0.009510461634685538,-1.7697383643827709,-0.24992652174659258
Model 1: Distal Only,education_expenditure_gdp,-0.0872941427344915,0.4787442170274364,-0.18233983749507882,0.8555398693496388,-1.0325485699734287,0.8579602845044457
Model 2: Distal + Intermediate,const,45.98206879744713,22.32331344651975,2.059822745740992,0.041056001428032354,1.8914693727259362,90.07266822216832
Model 2: Distal + Intermediate,gni_per_capita,6.574337910180038e-07,1.1815563617231648e-05,0.05564133987304777,0.9556978291467507,-2.2679392243913125e-05,2.399425982594913e-05
Model 2: Distal + Intermediate,poverty_headcount,-0.07852441481217927,0.06065987464579794,-1.2945034138414404,0.19738028805264707,-0.1983332523563496,0.041284422731991066
Model 2: Distal + Intermediate,gini_index,-0.16750190490559438,0.17785483389052129,-0.9417900050369187,0.3477378992073922,-0.5187815774149566,0.18377776760376782
Model 2: Distal + Intermediate,health_expenditure_pc,-7.415295937398376e-05,0.00029917820771099623,-0.2478554836641542,0.8045680431446867,-0.000665057465749943,0.0005167515470019755
Model 2: Distal + Intermediate,female_literacy,0.8847086362645733,0.32866376258959074,2.6918350514027534,0.007871696931987008,0.23556744418860565,1.533849828340541
Model 2: Distal + Intermediate,adult_literacy,-1.2068193882848235,0.4017264660790407,-3.004082355000675,0.0030984065249450845,-2.0002661468331704,-0.41337262973647637
Model 2: Distal + Intermediate,education_expenditure_gdp,-0.251336012703069,0.4881779719685204,-0.5148450506473817,0.6073807850319293,-1.2155324552071027,0.7128604298009646
Model 2: Distal + Intermediate,safe_water,0.019116384467397184,0.01138626362856357,1.6788988109709528,0.09514835305828641,-0.0033725345631034492,0.041605303497897816
Model 2: Distal + Intermediate,basic_sanitation,-0.0028150634828832005,0.01710068673844741,-0.16461698444858963,0.8694558748699301,-0.03659049429779538,0.03096036733202898
Model 2: Distal + Intermediate,electricity_access,-0.001120273916609242,0.017406145165329484,-0.0643608280850527,0.9487642766270361,-0.03549901324899703,0.03325846541577854
Model 2: Distal + Intermediate,hospital_beds,0.12940250295418337,0.1616708685654732,0.8004070498438509,0.42467685872704464,-0.18991234793675021,0.44871735384511696
Model 2: Distal + Intermediate,physicians_density,0.3270722220262803,0.22723468423944795,1.4393587102294154,0.15202714588130672,-0.12173720145858652,0.775881645511147
Model 2: Distal + Intermediate,nurses_midwives_density,-0.003594821286451293,0.1035348829444222,-0.03472087072702833,0.9723461441738113,-0.2080857478383784,0.2008961052654758
Model 2: Distal + Intermediate,urban_population,-0.0022654456651182786,0.011611208781806564,-0.19510851175701646,0.8455586693762223,-0.025198652084582468,0.020667760754345912
Model 3: Full Model,const,22.76835649635282,22.502044054370792,1.011835033356905,0.31324630705190737,-21.69355230653061,67.23026529923625
Model 3: Full Model,gni_per_capita,-5.0774537249287415e-06,1.0727943995375896e-05,-0.4732923407427644,0.6366926748699375,-2.627485545484823e-05,1.6119948004990748e-05
Model 3: Full Model,poverty_headcount,-0.04262355878313251,0.05530179865340526,-0.7707445294911385,0.44207067610973183,-0.15189467755003072,0.06664755998376569
Model 3: Full Model,gini_index,-0.06364743747775463,0.16284468433071167,-0.390847498273243,0.6964645268061906,-0.3854131173534045,0.2581182423978952
Model 3: Full Model,health_expenditure_pc,-9.478553076624291e-05,0.0002675281683673742,-0.3543011240449335,0.7236107985456284,-0.0006233958648057494,0.0004338248032732635
Model 3: Full Model,female_literacy,0.5503477401337897,0.3392429965783991,1.6222818029689354,0.10684298416376867,-0.11996430527152013,1.2206597855390995
Model 3: Full Model,adult_literacy,-0.9557651680166885,0.4197183394111491,-2.277158461452019,0.024190554716716006,-1.785088872330181,-0.12644146370319598
Model 3: Full Model,education_expenditure_gdp,0.3478463370316207,0.4889975065629348,0.7113458297089544,0.4779747016297826,-0.6183664429764907,1.314059117039732
Model 3: Full Model,safe_water,0.01190366238427162,0.010309098148755374,1.1546754345052734,0.25005956700930504,-0.008466139604490535,0.03227346437303377
Model 3: Full Model,basic_sanitation,-0.017596483199771383,0.017351548944611443,-1.014115987912192,0.31216040124574107,-0.05188150125857433,0.016688534859031566
Model 3: Full Model,electricity_access,-0.01108221780999285,0.018204984505061115,-0.6087463467443169,0.5436133653145772,-0.047053543742256766,0.02488910812227107
Model 3: Full Model,hospital_beds,0.055992012418799954,0.1478176778425629,0.3787910433719282,0.7053786529668448,-0.23608172522964446,0.3480657500672444
Model 3: Full Model,physicians_density,0.270150258559363,0.20653458461684027,1.3080146313535892,0.19286930752224626,-0.13794252819756608,0.678243045316292
Model 3: Full Model,nurses_midwives_density,-0.07549023383275898,0.09299708247488186,-0.8117484099906961,0.4182222899798742,-0.25924366485180805,0.10826319718629009
Model 3: Full Model,urban_population,0.007367931357921557,0.010778581714803743,0.6835715080957395,0.49530035003210526,-0.013929525711759368,0.028665388427602485
Model 3: Full Model,communicable_disease_deaths,0.3005913961459582,0.07314584232257644,4.109480273948267,6.503053694285515e-05,0.15606213636856578,0.4451206559233506
Model 3: Full Model,ncd_mortality_pct,0.32797183433094396,0.06585511974352402,4.98020253563043,1.7263941849473845e-06,0.1978483521635188,0.4580953164983691
Model 3: Full Model,hiv_prevalence,0.03661910118908333,0.09536084965985259,0.38400560942673906,0.7015180817685875,-0.15180491001172491,0.2250431123898916
Model 3: Full Model,measles_immunisation,-0.05738954095241929,0.02910544280652051,-1.9717803757159222,0.05047407929791573,-0.11489914055164735,0.0001200586468087586
Model 3: Full Model,dpt_immunisation,0.03767077560447209,0.031488337141524894,1.1963405827103575,0.23345124238901815,-0.024547197614231353,0.09988874882317553
Model 3: Full Model,undernourishment,-0.010005622222234722,0.029364424364358495,-0.3407396003437137,0.7337763893452153,-0.06802694486219624,0.0480157004177268
Model 3: Full Model,smoking_prevalence,0.02629741740202152,0.027295118287809297,0.963447643814265,0.3368735501996142,-0.027635152330049758,0.0802299871340928
Model 3: Full Model,overweight_prevalence,-0.40658315846489784,0.5734352934272269,-0.7090305796053975,0.4794060552495436,-1.5396370116664568,0.7264706947366613
